"src","dest"
"EFNA3","FGFR2"
"EFNA3","FGFR4"
"EFNA3","FLT1"
"EFNA3","FLT3"
"EFNA3","FLT4"
"EFNA3","IGF1R"
"EFNA3","INSR"
"EFNA3","KDR"
"EFNA3","KIT"
"EFNA3","MET"
"EFNA3","NGFR"
"EFNA3","NTRK1"
"EFNA3","NTRK2"
"EFNA3","PDGFRA"
"EFNA3","PDGFRB"
"EFNA3","RET"
"EFNA3","TEK"
"EFNA4","CSF1R"
"EFNA4","EGFR"
"EFNA4","EPHA2"
"EFNA4","ERBB2"
"EFNA4","ERBB3"
"EFNA4","ERBB4"
"EFNA4","FGFR1"
"EFNA4","FGFR3"
"EFNA4","FGFR2"
"EFNA4","FGFR4"
"EFNA4","FLT1"
"EFNA4","FLT3"
"EFNA4","FLT4"
"EFNA4","IGF1R"
"EFNA4","INSR"
"EFNA4","KDR"
"EFNA4","KIT"
"EFNA4","MET"
"EFNA4","NGFR"
"EFNA4","NTRK1"
"EFNA4","NTRK2"
"EFNA4","PDGFRA"
"EFNA4","PDGFRB"
"EFNA4","RET"
"EFNA4","TEK"
"EFNA5","CSF1R"
"EFNA5","EGFR"
"EFNA5","EPHA2"
"EFNA5","ERBB2"
"EFNA5","ERBB3"
"EFNA5","ERBB4"
"EFNA5","FGFR1"
"EFNA5","FGFR3"
"EFNA5","FGFR2"
"EFNA5","FGFR4"
